"","source","target","mor"
"1","MYC","TERT",1
"2","SPI1","BGLAP",1
"3","SMAD3","JUN",1
"4","SMAD4","JUN",1
"5","STAT5A","IL2",1
"6","STAT5B","IL2",1
"7","RELA","FAS",1
"8","WT1","NR0B1",1
"9","NR0B2","CASP1",1
"10","SP1","ALDOA",1
"11","TP53","IGF1R",-1
"12","ZBTB16","CCNA2",-1
"13","ETV6","IL3",-1
"14","RUNX1","IL3",-1
"15","RUNX1","RHD",1
"16","STAT1","CDKN1A",1
"17","STAT3","CDKN1A",1
"18","TP53","POLI",1
"19","ETV4","GGT1",1
"20","MTF1","MCAT",1
"21","CREB1","HMGCS2",1
"22","FOXA2","GCG",1
"23","NFATC2","GCG",1
"24","CEBPB","PCK1",1
"25","FOS","ABCB1",1
"26","RELA","ABCB1",1
"27","PLAG1","PLAG1",1
"28","TP53","CDKN1A",1
"29","TP53","RB1",-1
"30","E2F1","CDKN1A",1
"31","E2F3","CDKN1A",1
"32","HBP1","CDKN1A",-1
"33","YY1","NR3C1",1
"34","ESR1","MAPK8",1
"35","JUN","MAPK8",1
"36","NR1I3","CYP2B6",1
"37","CEBPG","IVL",1
"38","MAFK","HBB",1
"39","NFE2L3","HBB",1
"40","TP53","ACTA1",1
"41","TP53","BCL2",-1
"42","PHOX2A","DBH",1
"43","STAT4","IL12B",1
"44","STAT4","IFNA1",1
"45","STAT4","IRF1",1
"46","IRF1","IRF1",1
"47","ATF2","IL6",1
"48","WT1","ODC1",1
"49","NR2C2","CCND1",1
"50","IRF3","IFNA1",1
"51","TFAP2A","CCL13",1
"52","FOS","FOS",-1
"53","HNF1A","IGF1",1
"54","STAT5A","IGF1",1
"55","ETS1","TIMP1",1
"56","ETV4","TIMP1",1
"57","CEBPB","ADRA1D",1
"58","ARNT","CYP1B1",1
"59","AHR","CYP1B1",1
"60","TP53","CCNB1",-1
"61","PAX6","L1CAM",1
"62","CARF","CREBBP",1
"63","STAT5A","CCND1",1
"64","STAT5A","IL3",1
"65","CEBPB","VLDLR",1
"66","NFYA","VLDLR",1
"67","CEBPG","VLDLR",1
"68","TP53","MDM2",1
"69","ZNF148","CDKN1A",1
"70","NFIC","CREBBP",1
"71","NFIC","SRC",1
"72","NFIC","GAL",1
"73","NFIC","NFIC",1
"74","RBPJ","MYOD1",-1
"75","RBPJ","HES1",1
"76","HES1","HES1",1
"77","ATF2","CCND1",1
"78","JUN","CCND1",1
"79","FOS","MAPK14",1
"80","GATA4","INHA",1
"81","GATA4","GATA4",1
"82","GATA4","GATA6",1
"83","GATA6","GATA4",1
"84","E2F3","RBL1",1
"85","NFATC2","IL4",1
"86","HNF4A","GUCY2C",1
"87","RXRG","SFTPB",1
"88","RARA","SFTPB",1
"89","JUN","CDKN1A",1
"90","TP53","JUN",1
"91","JUN","TP53",-1
"92","TP53","TP53",1
"93","STAT3","PRF1",1
"94","DBP","JTB",1
"95","HLF","JTB",1
"96","HLF","F8",1
"97","PPARG","SERPINE2",1
"98","PPARG","SERPINE1",-1
"99","MAX","PDLIM7",-1
"100","USF2","PDLIM7",1
"101","IRF1","SAMHD1",1
"102","IRF2","SAMHD1",1
"103","IRF1","IFNG",1
"104","IRF1","NOS2",1
"105","IRF2","NOS2",-1
"106","SP1","FASLG",1
"107","SP3","FASLG",1
"108","AR","PRKACA",1
"109","AR","KLK3",1
"110","AR","ARR3",1
"111","CUX1","CFTR",1
"112","ATF1","CFTR",1
"113","KAT7","CFTR",1
"114","CREBZF","GAST",1
"115","SP1","GAST",1
"116","GLI3","GLI1",1
"117","NKX2-5","NPPA",1
"118","GATA4","NPPA",1
"119","TGFB1I1","AR",1
"120","AR","TGFB1I1",1
"121","RARB","MMP11",1
"122","RARG","MMP11",1
"123","RARB","RARG",-1
"124","RARG","RARB",1
"125","JUN","CCL5",1
"126","RELA","CD40",1
"127","RELA","IFNG",1
"128","TEAD1","TGFA",1
"129","TFAP2A","TGFA",1
"130","PPARA","NR1D1",1
"131","ESR2","RARA",1
"132","ESR1","RARA",1
"133","RARA","ESR1",1
"134","NR3C1","IRS2",1
"135","PGR","IRS2",1
"136","NRG1","UTRN",1
"137","NRG1","CHRNE",1
"138","TBP","GTF2A1",1
"139","GTF2A1","TBP",1
"140","REL","NOS2",1
"141","PAX6","KRT12",1
"142","ISL1","NHLH1",1
"143","RARA","KRAS",1
"144","RUNX1","KRAS",1
"145","ZBTB14","MYC",-1
"146","MYB","EPO",1
"147","MYC","EPO",1
"148","SP1","NF1",1
"149","TP53","EIF2AK2",1
"150","PITX1","LHB",1
"151","EGR1","LHB",1
"152","EGR1","PRKCG",1
"153","SP1","MYOD1",1
"154","MYOD1","SP1",-1
"155","FOS","TP53",1
"156","TP53","FOS",-1
"157","ETS2","BCL2L1",1
"158","GTF2I","FOS",1
"159","GTF2I","SMARCA4",1
"160","SP1","FOS",1
"161","YY1","FOS",-1
"162","SP1","EGR1",1
"163","EGR1","SP1",1
"164","NR2F1","EGR1",1
"165","BTAF1","TBP",-1
"166","TBP","BTAF1",1
"167","TBP","DNAH8",1
"168","MYC","ENO1",1
"169","ENO1","MYC",-1
"170","TP53","CCND1",-1
"171","IRF2","ABCC8",1
"172","IRF2","SMC3",1
"173","FOS","RHOA",1
"174","JDP2","LGALS1",1
"175","JUN","DCTN1",1
"176","MAZ","PNMT",1
"177","SP1","PNMT",1
"178","NFIC","PCK1",1
"179","CREB1","PCK1",1
"180","NR4A1","PCK1",1
"181","HMGA1","NOS2",1
"182","RELA","NOS2",1
"183","NFKB1","NOS2",1
"184","USF1","USF1",1
"185","CEBPB","DDIT3",1
"186","DDIT3","CEBPB",-1
"187","ATF4","DDIT3",1
"188","DDIT3","ATF4",1
"189","ATF3","ATF4",1
"190","ATF4","ATF3",1
"191","ATF3","DDIT3",1
"192","TAF1","CCNA2",1
"193","RUNX2","BGLAP",1
"194","TFAP2A","FABP2",1
"195","TFAP2B","FABP2",1
"196","ATF2","SELE",1
"197","HMGA1","SELE",1
"198","HNF1A","LCT",1
"199","CREM","LIPE",1
"200","SMAD4","SERPINE1",1
"201","SMAD3","SERPINE1",1
"202","STAT1","IRF8",1
"203","IRF8","STAT1",-1
"204","IRF8","IFNG",1
"205","MAZ","MAZ",1
"206","TP53","S100A2",1
"207","PAX6","GCG",1
"208","TP53","BAX",1
"209","TP53","CCNG1",1
"210","TP53","CHKA",1
"211","TP53","GADD45A",1
"212","ETV5","IFNG",1
"213","STAT4","IFNG",1
"214","DMTF1","CDKN2A",1
"215","TP53","CDKN2A",1
"216","PPARG","LPL",1
"217","SP1","NPR1",1
"218","SP3","NPR1",1
"219","NR5A1","CYP17A1",1
"220","SP1","RAC2",1
"221","SP3","RAC2",1
"222","NEUROD2","ITPR1",1
"223","RUNX1","FOS",1
"224","NEUROD1","AK1",1
"225","HHEX","HHEX",1
"226","FOXO3","FASLG",1
"227","USF1","ADGRE4P",1
"228","USF1","FASN",1
"229","USF1","INS",1
"230","MBD1","FGF2",1
"231","CEBPD","IGF1",1
"232","ELK1","SOD1",1
"233","YY1","SOD1",1
"234","FLI1","GP9",1
"235","FLI1","ITGA2B",1
"236","EGR1","ELK1",1
"237","ELK1","EGR1",1
"238","ELK4","EGR1",1
"239","PREB","PRL",1
"240","PREB","PRKACA",1
"241","POU1F1","POU1F1",1
"242","POU1F1","PRL",1
"243","POU1F1","PREB",1
"244","PREB","POU1F1",1
"245","POU1F1","PRKACA",1
"246","PREB","PREB",1
"247","STAT3","POMC",1
"248","TP53","PTGS2",-1
"249","TBP","PTGS2",1
"250","TP53","TICAM2",1
"251","TBP","RB1",1
"252","PAX5","RB1",1
"253","CREB1","CHGA",1
"254","TFAP2A","ST3GAL4",1
"255","SP1","CLCN2",1
"256","SP3","CLCN2",1
"257","CEBPG","NOS2",1
"258","CEBPB","NOS2",1
"259","CEBPA","ALB",1
"260","TP53","ALOX15",1
"261","LITAF","TNF",1
"262","IRF1","IFNL3",1
"263","IRF2","IFNL3",1
"264","IRF3","IFNL3",1
"265","RELA","IFNL3",1
"266","IRF2","IRF2",1
"267","CREB1","CCND1",1
"268","STAT1","IFNG",1
"269","STAT6","IFNG",-1
"270","JUN","IL6",1
"271","EGR1","IL1B",1
"272","EGR1","IL1A",1
"273","HIF1A","EPO",1
"274","HLF","EPO",1
"275","MYC","CDC25A",1
"276","TFAP2A","NQO1",1
"277","FOS","TGFB1",1
"278","TP53","MMP1",-1
"279","SPI1","REG1A",1
"280","POU1F1","GHRHR",1
"281","ARNT","EPO",1
"282","TP73","MDM2",1
"283","TP73","TP53",1
"284","TP53","TP73",1
"285","MYC","EMP1",1
"286","ESR1","EMP1",1
"287","KLF11","HBG1",1
"288","KLF11","HBB",1
"289","NFATC2","TAT",1
"290","TCF4","SSTR2",1
"291","HIVEP2","SSTR2",1
"292","ESR1","CRYAB",1
"293","TP73","CDKN1A",1
"294","E2F4","E2F1",-1
"295","RUNX1","BCL2",1
"296","POU1F1","TRHR",1
"297","YY1","ACR",1
"298","CREM","FSHB",-1
"299","SP1","CDKN1A",1
"300","GATA5","MYH7",1
"301","GATA4","MYH7",1
"302","GATA4","SLC8A1",1
"303","SRF","SLC8A1",1
"304","ELF1","IL5",1
"305","ETS2","IL5",1
"306","GATA3","IL5",1
"307","ETS1","IL5",1
"308","SP1","TGFB1",1
"309","TBP","CREBBP",1
"310","MSX1","MSX1",-1
"311","RUNX2","RUNX2",1
"312","OTX2","NCAM1",1
"313","LHX2","PCYT1A",1
"314","SP1","PCYT1A",1
"315","DDIT3","HSPA5",1
"316","FOS","OXTR",1
"317","GABPA","OXTR",1
"318","JUN","OXTR",1
"319","TP53","NGF",1
"320","REL","IL2RA",1
"321","FOS","AGTR2",1
"322","HSF2","HSP90B2P",1
"323","SP1","LDLR",1
"324","YY1","LDLR",-1
"325","CEBPA","PCK1",1
"326","WT1","CDKN1A",1
"327","VDR","RARB",1
"328","HOXC8","SMAD1",1
"329","HR","IGFBP1",1
"330","ATF1","CAT",1
"331","RELB","SRC",1
"332","FOS","ERCC1",1
"333","YY1","CXCR4",-1
"334","MYC","CXCR4",1
"335","USF1","CXCR4",1
"336","CUX1","NOS2",1
"337","CUX1","PI3",1
"338","CREB1","ANG",1
"339","NR5A1","NR5A1",1
"340","NR5A1","SF1",1
"341","TP53","ITSN1",1
"342","CEBPE","ELANE",1
"343","DDIT3","EPO",1
"344","NR5A1","LHB",1
"345","NR0B1","LHB",-1
"346","ATF2","TNF",1
"347","JUN","TNF",1
"348","GATA4","ADORA1",1
"349","NKX2-5","ADORA1",1
"350","AR","ACOT11",1
"351","GATA4","ACOT11",1
"352","GATA4","AR",1
"353","NKX2-5","ACOT11",1
"354","NKX2-5","AR",1
"355","CEBPB","KRAS",1
"356","YY1","HMGCS2",-1
"357","LEF1","CCND1",1
"358","PAX6","SST",1
"359","CEBPB","STAR",1
"360","NR5A1","STAR",1
"361","POU1F1","FOS",1
"362","POU1F1","SSTR5",1
"363","EGR1","CISH",1
"364","NR5A1","RHD",1
"365","SRF","FOS",1
"366","FOS","TF",1
"367","ID1","FOS",-1
"368","ZNF143","STUB1",1
"369","MYC","CDKN1A",1
"370","JUN","IL2",1
"371","SOX9","MIA",1
"372","IRF2","CDKN1A",1
"373","IRF1","IFNA1",1
"374","IRF2","IFNA1",1
"375","IRF1","IRF2",1
"376","IRF2","IRF1",1
"377","LITAF","MDM2",1
"378","LITAF","MRPL41",1
"379","LITAF","PIK3R1",1
"380","TP53","LITAF",1
"381","LITAF","TP53",1
"382","TP53","BTG2",1
"383","TP53","GREM1",1
"384","TP53","MRPL41",1
"385","TP53","PIK3R1",1
"386","SP3","CDKN1A",1
"387","TP53","PCNA",1
"388","STAT1","IFNB1",-1
"389","AR","AR",1
"390","JUN","ATF2",1
"391","ATF2","JUN",1
"392","ATF2","TNFRSF11A",1
"393","JUN","TNFRSF11A",1
"394","YBX1","ERCC2",1
"395","YBX1","ERCC3",1
"396","YBX1","XRCC1",1
"397","HSF1","CXCL8",1
"398","HSF1","ICAM1",1
"399","HSF1","IL6",1
"400","HSF1","TNF",1
"401","HSF1","IL1B",1
"402","PPARA","UCP3",1
"403","REL","JAG1",1
"404","RELA","JAG1",1
"405","HES1","FCER1G",1
"406","EGR1","F3",1
"407","SRF","EGR1",1
"408","EGR1","SRF",1
"409","SP1","SP1",1
"410","FOXE1","TPO",1
"411","POU4F1","BCL2",1
"412","NOTO","BTK",1
"413","HNF4A","SERPINA1",1
"414","HNF1A","SERPINA1",1
"415","HNF1B","SERPINA1",1
"416","SOX9","EPYC",1
"417","SRF","SRF",1
"418","PAX3","FGF2",1
"419","ID2","HBG1",1
"420","JUN","CSF2",1
"421","NFATC2","CSF2",1
"422","VDR","CSF2",-1
"423","MEF2A","JUN",1
"424","GATA6","NPPA",1
"425","SP140","IFNG",1
"426","RUNX2","MMP13",1
"427","YBX1","MMP13",-1
"428","FLI1","EPO",1
"429","FLI1","RB1",1
"430","FLI1","CFC1",1
"431","CEBPE","CEBPE",1
"432","PDX1","CHKA",1
"433","PDX1","INS",1
"434","HNF1A","HNF4A",1
"435","HNF4A","HNF1A",1
"436","NR2F2","HNF1A",1
"437","HNF1A","INS",1
"438","NR1H4","CYP7A1",-1
"439","ASCL1","NGF",1
"440","HES1","NGF",1
"441","RFX1","PCNA",-1
"442","CRX","SAG",1
"443","NRL","SAG",1
"444","E2F1","DHFR",1
"445","TBP","DHFR",1
"446","PAX5","IL2",1
